City,Lat,Lng,Max_Temp,Cloudiness,Humidity,Wind_Speed,country,date
saskylakh,71.92,114.08,267.18,90,97,1.99,RU,1603147687
champerico,14.3,-91.92,303.15,75,74,4.1,GT,1603147763
pasighat,28.07,95.33,295.09,61,86,0.89,IN,1603147763
clyde river,70.47,-68.59,274.15,75,97,7.2,CA,1603147739
kota belud,6.35,116.43,297.15,20,94,1.5,MY,1603147468
laurel,39.1,-76.85,292.59,1,68,1.5,US,1603147763
longlac,,,,,,,,
puerto cabezas,14.04,-83.39,304.15,75,74,3.1,NI,1603147763
nichinan,31.6,131.37,287.15,40,82,3.6,JP,1603147763
karratha,-20.74,116.85,293.73,0,65,3.15,AU,1603147550
coos bay,43.37,-124.22,290.15,1,72,6.7,US,1603147763
huaihua,27.55,109.96,286.19,90,74,1.43,CN,1603147763
ancud,-41.87,-73.82,283.71,0,66,3.1,CL,1603147763
pemba,-12.97,40.52,297.15,75,94,1.5,MZ,1603147763
bluff,-46.6,168.33,282.04,88,87,3.13,NZ,1603147763
gravdal,68.12,13.5,276.45,57,69,2.13,NO,1603147763
krsko,45.96,15.49,282.04,90,100,0.81,SI,1603147763
hope,33.67,-93.59,300.37,49,62,0.89,US,1603147763
celestun,20.87,-90.4,300.61,5,81,6.86,MX,1603147763
mys shmidta,,,,,,,,
longyearbyen,78.22,15.64,271.15,75,74,4.6,SJ,1603147478
aksu,41.12,80.26,281.92,0,48,1.73,CN,1603147763
silvan,38.14,41.01,286.15,21,47,0.5,TR,1603147763
richards bay,-28.78,32.04,294.16,37,88,0.57,ZA,1603147481
praia da vitoria,38.73,-27.07,289.15,40,82,13.72,PT,1603147763
hambantota,6.12,81.12,298.15,40,100,4.1,LK,1603147763
camocim,-2.9,-40.84,299.61,10,73,8.07,BR,1603147763
teplyk,48.67,29.75,278.41,0,87,2.94,UA,1603147763
belmonte,-15.86,-38.88,297.15,20,73,1.5,BR,1603147763
safwah,,,,,,,,
bonavista,48.65,-53.11,283.15,92,82,1.79,CA,1603147763
bandarbeyla,9.49,50.81,298.47,0,74,2.35,SO,1603147764
muzhi,65.37,64.67,264.48,67,97,0.78,RU,1603147764
moussoro,13.64,16.49,304.64,0,14,2.94,TD,1603147764
rundu,-17.93,19.77,294.03,0,22,1.24,NA,1603147764
ust-omchug,61.15,149.63,263.6,100,91,2.7,RU,1603147764
udobnaya,44.19,41.55,283.4,77,79,2.92,RU,1603147764
belem,-1.46,-48.5,297.15,40,94,2.6,BR,1603147597
rongcheng,30.63,117.85,285.28,0,86,1.37,CN,1603147764
esperance,-33.87,121.9,288.15,90,100,4.1,AU,1603147671
chumikan,54.72,135.31,271.89,0,84,10.65,RU,1603147474
pangnirtung,66.15,-65.71,274.15,90,74,2.6,CA,1603147504
cayenne,4.93,-52.33,301.15,42,78,2.1,GF,1603147764
novyy urgal,51.07,132.56,269.83,3,84,0.66,RU,1603147764
batemans bay,-35.72,150.18,290.93,95,68,1.74,AU,1603147620
davidson,36.15,-86.78,297.15,75,64,4.1,US,1603147737
samusu,,,,,,,,
luzhou,28.87,105.44,287.66,100,91,2.38,CN,1603147764
tessalit,20.2,1.01,300.96,0,16,4.05,ML,1603147764
taoudenni,22.68,-3.98,301.23,0,21,6.33,ML,1603147764
cabanas,22.98,-82.92,296.15,90,100,2.6,CU,1603147764
aksarka,66.56,67.8,263.1,0,94,1.94,RU,1603147764
cherat,33.82,71.89,291.15,0,59,2.1,PK,1603147764
tiznit,29.58,-9.5,294.56,27,33,2.09,MA,1603147764
constitucion,-35.33,-72.42,285.88,8,67,7.2,CL,1603147704
prince rupert,54.32,-130.32,282.15,90,93,3.6,CA,1603147502
san quintin,30.48,-115.95,297.65,0,59,9.41,MX,1603147764
rocha,-34.48,-54.33,291.83,16,86,2.79,UY,1603147764
beringovskiy,63.05,179.32,277,83,80,4.75,RU,1603147764
maumere,-8.62,122.21,300.52,9,74,1.48,ID,1603147645
cururupu,-1.83,-44.87,298.19,83,84,1.83,BR,1603147764
gandai,21.67,81.1,296.05,21,80,1.33,IN,1603147764
tezpur,26.63,92.8,295.87,32,92,2.25,IN,1603147765
yarada,17.65,83.27,299.15,75,100,1,IN,1603147765
anloga,5.79,0.9,299.15,20,88,3.1,GH,1603147765
tuatapere,-46.13,167.68,282.04,58,87,3.13,NZ,1603147715
ahipara,-35.17,173.17,291.28,99,67,4.98,NZ,1603147600
rayong,12.83,101.43,297.15,75,94,2.1,TH,1603147765
ilabaya,-17.42,-70.51,290.26,4,46,0.63,PE,1603147765
ji-parana,,,,,,,,
sfantu gheorghe,45.87,25.78,277.04,0,86,0.5,RO,1603147765
kamenskoye,,,,,,,,
pacific grove,36.62,-121.92,291.15,1,68,4.1,US,1603147765
belaya gora,68.53,146.42,261.88,87,94,1.7,RU,1603147765
wagar,16.15,36.2,300.16,0,46,4.62,SD,1603147765
merauke,-8.47,140.33,299.79,100,82,4.44,ID,1603147565
maceio,-9.67,-35.74,297.15,36,83,3.1,BR,1603147564
rockingham,42.97,-71.1,285.37,94,75,1.42,US,1603147765
saleaula,,,,,,,,
hornepayne,49.21,-84.77,271.18,41,95,2.04,CA,1603147765
kuche,,,,,,,,
novaya ladoga,60.1,32.3,274.82,99,89,5.36,RU,1603147765
marystown,47.17,-55.15,285.93,76,100,2.56,CA,1603147765
atar,20.52,-13.05,303.66,0,23,3.61,MR,1603147765
shanting,35.08,117.46,284.71,78,62,1.71,CN,1603147765
kem,64.96,34.58,275.45,100,81,7.97,RU,1603147765
anori,-3.77,-61.64,298.94,95,83,1.74,BR,1603147765
conceicao do araguaia,-8.26,-49.26,304.34,81,35,1.61,BR,1603147708
sassandra,4.95,-6.08,297.57,37,88,2.97,CI,1603147765
san rafael,-34.62,-68.33,294.19,0,23,4.66,AR,1603147765
tucuman,-26.82,-65.22,310.15,40,29,5.7,AR,1603147687
caravelas,-17.71,-39.25,296.22,100,77,2.61,BR,1603147476
champasak,14.75,106,294.76,84,99,0.59,LA,1603147765
mrirt,,,,,,,,
vardo,70.37,31.11,274.15,40,70,5.1,NO,1603147503
khasan,42.43,130.64,284.04,0,57,1.96,RU,1603147765
padang,-0.95,100.35,298.85,41,68,2.2,ID,1603147766
yushala,57.08,64.26,276.15,40,86,2,RU,1603147766
capreol,46.71,-80.92,277.59,94,85,1.53,CA,1603147766
dno,57.83,29.96,275.35,100,92,3.09,RU,1603147766
cheuskiny,,,,,,,,
pangai,-19.8,-174.35,298.15,20,65,5.1,TO,1603147766
saint-francois,46.42,3.91,287.15,80,67,4.6,FR,1603147766
coquimbo,-29.95,-71.34,287.15,20,76,6.7,CL,1603147766
